03/03/22 1:06:27: c--titleType1.scss - Undefined variable $black_000: c--titleType1.scss on line 9, at column 5
03/03/22 1:06:27: c--titleType2.scss - Undefined variable $black_000: c--titleType2.scss on line 21, at column 9
03/03/22 1:08:28: style.scss - Undefined variable $black: style.scss on line 16, at column 2
03/03/22 1:08:28: c--button.scss - Undefined variable $black_000: c--button.scss on line 17, at column 2
03/03/22 1:08:28: c--cardTemplate.scss - Undefined variable $tab: c--cardTemplate.scss on line 13, at column 2
03/03/22 1:08:28: c--footer.scss - Undefined variable $gray_dbd: c--footer.scss on line 14, at column 2
03/03/22 1:08:28: c--gnav.scss - Undefined variable $black_000: c--gnav.scss on line 23, at column 2
03/03/22 1:08:28: c--hamburger.scss - Undefined variable $black_000: c--hamburger.scss on line 52, at column 5
03/03/22 1:08:28: c--header.scss - Undefined variable $lightgray_F7F: c--header.scss on line 14, at column 3
03/03/22 1:08:28: c--magazine.scss - Undefined variable $tab: c--magazine.scss on line 21, at column 3
03/03/22 1:08:28: c--pagination.scss - Undefined variable $primary: c--pagination.scss on line 35, at column 5
03/03/22 1:08:28: c--sectionTemplate.scss - Undefined variable $tab: c--sectionTemplate.scss on line 15, at column 2
03/03/22 1:08:28: c--strengthSection.scss - Undefined variable $primary: c--strengthSection.scss on line 48, at column 4
03/03/22 1:08:28: c--titleType1.scss - Undefined variable $black_000: c--titleType1.scss on line 9, at column 5
03/03/22 1:08:28: c--titleType2.scss - Undefined variable $black_000: c--titleType2.scss on line 21, at column 9
03/03/22 1:10:29: style.scss - Undefined variable $black: style.scss on line 16, at column 2
03/03/22 1:10:29: c--button.scss - Undefined variable $black_000: c--button.scss on line 17, at column 2
03/03/22 1:10:29: c--cardTemplate.scss - Undefined variable $tab: c--cardTemplate.scss on line 13, at column 2
03/03/22 1:10:29: c--footer.scss - Undefined variable $gray_dbd: c--footer.scss on line 14, at column 2
03/03/22 1:10:29: c--gnav.scss - Undefined variable $black_000: c--gnav.scss on line 23, at column 2
03/03/22 1:10:29: c--hamburger.scss - Undefined variable $black_000: c--hamburger.scss on line 52, at column 5
03/03/22 1:10:29: c--header.scss - Undefined variable $lightgray_F7F: c--header.scss on line 14, at column 3
03/03/22 1:10:29: c--magazine.scss - Undefined variable $tab: c--magazine.scss on line 21, at column 3
03/03/22 1:10:29: c--pagination.scss - Undefined variable $primary: c--pagination.scss on line 35, at column 5
03/03/22 1:10:29: c--sectionTemplate.scss - Undefined variable $tab: c--sectionTemplate.scss on line 15, at column 2
03/03/22 1:10:29: c--strengthSection.scss - Undefined variable $primary: c--strengthSection.scss on line 48, at column 4
03/03/22 1:10:29: c--titleType1.scss - Undefined variable $black_000: c--titleType1.scss on line 9, at column 5
03/03/22 1:10:29: c--titleType2.scss - Undefined variable $black_000: c--titleType2.scss on line 21, at column 9
03/03/22 1:12:30: style.scss - Undefined variable $black: style.scss on line 16, at column 2
03/03/22 1:12:30: c--button.scss - Undefined variable $black_000: c--button.scss on line 17, at column 2
03/03/22 1:12:30: c--cardTemplate.scss - Undefined variable $tab: c--cardTemplate.scss on line 13, at column 2
03/03/22 1:12:30: c--footer.scss - Undefined variable $gray_dbd: c--footer.scss on line 14, at column 2
03/03/22 1:12:30: c--gnav.scss - Undefined variable $black_000: c--gnav.scss on line 23, at column 2
03/03/22 1:12:30: c--hamburger.scss - Undefined variable $black_000: c--hamburger.scss on line 52, at column 5
03/03/22 1:12:30: c--header.scss - Undefined variable $lightgray_F7F: c--header.scss on line 14, at column 3
03/03/22 1:12:30: c--magazine.scss - Undefined variable $tab: c--magazine.scss on line 21, at column 3
03/03/22 1:12:30: c--pagination.scss - Undefined variable $primary: c--pagination.scss on line 35, at column 5
03/03/22 1:12:30: c--sectionTemplate.scss - Undefined variable $tab: c--sectionTemplate.scss on line 15, at column 2
03/03/22 1:12:30: c--strengthSection.scss - Undefined variable $primary: c--strengthSection.scss on line 48, at column 4
03/03/22 1:12:30: c--titleType1.scss - Undefined variable $black_000: c--titleType1.scss on line 9, at column 5
03/03/22 1:12:30: c--titleType2.scss - Undefined variable $black_000: c--titleType2.scss on line 21, at column 9
03/03/22 1:49:31: style.scss - Undefined variable $black: style.scss on line 16, at column 2
03/03/22 1:49:31: c--button.scss - Undefined variable $black_000: c--button.scss on line 17, at column 2
03/03/22 1:49:31: c--cardTemplate.scss - Undefined variable $tab: c--cardTemplate.scss on line 13, at column 2
03/03/22 1:49:31: c--footer.scss - Undefined variable $gray_dbd: c--footer.scss on line 14, at column 2
03/03/22 1:49:31: c--gnav.scss - Undefined variable $black_000: c--gnav.scss on line 23, at column 2
03/03/22 1:49:31: c--hamburger.scss - Undefined variable $black_000: c--hamburger.scss on line 52, at column 5
03/03/22 1:49:31: c--header.scss - Undefined variable $lightgray_F7F: c--header.scss on line 14, at column 3
03/03/22 1:49:31: c--magazine.scss - Undefined variable $tab: c--magazine.scss on line 21, at column 3
03/03/22 1:49:31: c--pagination.scss - Undefined variable $primary: c--pagination.scss on line 35, at column 5
03/03/22 1:49:31: c--sectionTemplate.scss - Undefined variable $tab: c--sectionTemplate.scss on line 15, at column 2
03/03/22 1:49:31: c--strengthSection.scss - Undefined variable $primary: c--strengthSection.scss on line 48, at column 4
03/03/22 1:49:31: c--titleType1.scss - Undefined variable $black_000: c--titleType1.scss on line 9, at column 5
03/03/22 1:49:31: c--titleType2.scss - Undefined variable $black_000: c--titleType2.scss on line 21, at column 9
